Crop,Time Period,RCP,Total Hectares,Unsuitable Hectares,Suitable Hectares,Percent Suitable,Percent Unuitable
Pineapple,2020,,534144.08,324576.81,209567.27,39.23,60.77
Pineapple,2050,4.5,534144.06,282731.81,251412.25,47.07,52.93
Pineapple,2070,4.5,534144.09,265874.03,268270.06,50.22,49.78
Pineapple,2050,8.5,534144.09,280335.78,253808.31,47.52,52.48
Pineapple,2070,8.5,534144.09,303611.53,230532.56,43.16,56.84
Cacao,2020,,534144.08,373866.63,160277.45,30.01,69.99
Cacao,2050,4.5,534144.09,373438.78,160705.31,30.09,69.91
Cacao,2070,4.5,534144.09,360688.47,173455.63,32.47,67.53
Cacao,2050,8.5,534144.09,377203.97,156940.13,29.38,70.62
Cacao,2070,8.5,534144.11,382338.34,151805.77,28.42,71.58
Coffee,2020,,532775,434280.84,98494.05,18.49,81.51
Coffee,2050,4.5,533367,432735.13,100632.1,18.87,81.13
Coffee,2070,4.5,533367,431451.59,101915.67,19.11,80.89
Coffee,2050,8.5,532775,430772.44,102002.52,19.15,80.85
Coffee,2070,8.5,532775,433596.31,99178.63,18.62,81.38
